"Topic","Sentiment","TweetId","TweetDate","TweetText"
"b'apple'","b'positive'","b'126415614616154112'","b'Tue Oct 18 21:53:25 +0000 2011'","b'Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is'"
"b'apple'","b'positive'","b'126402758403305474'","b'Tue Oct 18 21:02:20 +0000 2011'","b""Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY"""
"b'apple'","b'positive'","b'126397179614068736'","b'Tue Oct 18 20:40:10 +0000 2011'","b'@RIM you made it too easy for me to switch to @Apple iPhone. See ya!'"
"b'apple'","b'positive'","b'126379685453119488'","b'Tue Oct 18 19:30:39 +0000 2011'","b'The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace'"
"b'apple'","b'positive'","b'126377656416612353'","b'Tue Oct 18 19:22:35 +0000 2011'","b'Great up close & personal event @Apple tonight in Regent St store!'"
"b'apple'","b'positive'","b'126373779483004928'","b'Tue Oct 18 19:07:11 +0000 2011'","b'From which companies do you experience the best customer service aside from @zappos and @apple?'"
"b'apple'","b'positive'","b'126366353757179904'","b'Tue Oct 18 18:37:41 +0000 2011'","b'Just apply for a job at @Apple, hope they call me lol'"
"b'apple'","b'positive'","b'126365858481188864'","b'Tue Oct 18 18:35:43 +0000 2011'","b'Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol'"
"b'apple'","b'positive'","b'126360935509135362'","b'Tue Oct 18 18:16:09 +0000 2011'","b""RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!"""
"b'apple'","b'positive'","b'126360398885687296'","b'Tue Oct 18 18:14:01 +0000 2011'","b'Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple'"
"b'apple'","b'positive'","b'126358340220616704'","b'Tue Oct 18 18:05:50 +0000 2011'","b""Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!"""
"b'apple'","b'positive'","b'126357982685569024'","b'Tue Oct 18 18:04:25 +0000 2011'","b'\xe4\xbd\xa0\xe5\xa5\xbd ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones & their uber useful flashcard apps  \xee\x94\x96\xee\x94\x93'"
"b'apple'","b'positive'","b'126352268705538048'","b'Tue Oct 18 17:41:43 +0000 2011'","b'Come to the dark side \xf0\x9f\x93\xb1\xe2\x80\x9c@gretcheneclark: Hey @apple, if you send me a free iPhone, I will publicly and ceremoniously burn my #BlackBerry.\xe2\x80\x9d'"
"b'apple'","b'positive'","b'126350302113824769'","b'Tue Oct 18 17:33:54 +0000 2011'","b'Hey @apple, if you send me a free iPhone (any version will do), I will publicly and ceremoniously burn my #BlackBerry.'"
"b'apple'","b'positive'","b'126342268603998208'","b'Tue Oct 18 17:01:58 +0000 2011'","b'Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today, out of warranty.'"
"b'apple'","b'positive'","b'126325800080392193'","b'Tue Oct 18 15:56:32 +0000 2011'","b'@DailyDealChat @apple Thanks!!'"
"b'apple'","b'positive'","b'126324177501302784'","b'Tue Oct 18 15:50:05 +0000 2011'","b'iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes'"
"b'apple'","b'positive'","b'126322063332999169'","b'Tue Oct 18 15:41:41 +0000 2011'","b'@apple @siri is efffing amazing!!'"
"b'apple'","b'positive'","b'126318009647235072'","b'Tue Oct 18 15:25:35 +0000 2011'","b'RT @TripLingo: We\'re one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z'"
"b'apple'","b'positive'","b'126315223060709376'","b'Tue Oct 18 15:14:30 +0000 2011'","b'We\'re one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z'"
"b'apple'","b'positive'","b'126315011600678913'","b'Tue Oct 18 15:13:40 +0000 2011'","b""When you want something done right, you do it yourself... or go to @Apple. AT&T you're useless these days. #yourdaysarenumbered\n\n\xef\xa3\xbf\xef\xa3\xbf\xef\xa3\xbf"""
"b'apple'","b'positive'","b'126314687116750849'","b'Tue Oct 18 15:12:22 +0000 2011'","b'We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16'"
"b'apple'","b'positive'","b'126311981564178432'","b'Tue Oct 18 15:01:37 +0000 2011'","b'---\xc2\xbb RT @Apple No question bro. RT @AintEeenTrippin: Should I get dis iPhone or a EVO 3D?'"
"b'apple'","b'positive'","b'126307801046847488'","b'Tue Oct 18 14:45:01 +0000 2011'","b""RT @imightbewrong: I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   : ..."""
"b'apple'","b'positive'","b'126302673820594176'","b'Tue Oct 18 14:24:38 +0000 2011'","b""I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   :)  Way to go @Apple!"""
"b'apple'","b'positive'","b'126301956951117826'","b'Tue Oct 18 14:21:47 +0000 2011'","b""@Twitter CEO points to @Apple as 'corporate mentor' as @iOS signups triple http://t.co/GCY8iphN"""
"b'apple'","b'positive'","b'126287654093471745'","b'Tue Oct 18 13:24:57 +0000 2011'","b'At the bus with my iPhone ;) thxx @apple'"
"b'apple'","b'positive'","b'126284506360578049'","b'Tue Oct 18 13:12:27 +0000 2011'","b'@azee1v1 @apple @umber AppStore is well done, so is iTunes on the mobile devices.  I was talking about desktop app.'"
"b'apple'","b'positive'","b'126263834968211456'","b'Tue Oct 18 11:50:18 +0000 2011'","b'NYTimes: Coach Wants to See You. And Bring Your iPad. http://t.co/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad'"
"b'apple'","b'positive'","b'126256230397259776'","b'Tue Oct 18 11:20:05 +0000 2011'","b'@apple @jilive @DanielPink: Apple sells 4 million iPhone 4S units in first weekend ... Steve Jobs brilliance lives on for ever! #iphone #RVA'"
"b'apple'","b'positive'","b'126195522691280896'","b'Tue Oct 18 07:18:51 +0000 2011'","b'@bkad5161 than apologize to @apple ;)'"
"b'apple'","b'positive'","b'126183339945234432'","b'Tue Oct 18 06:30:27 +0000 2011'","b'@Apple downloads of iOS 5 are proving popular with users  -- http://t.co/NSHLfiUX'"
"b'apple'","b'positive'","b'126180209501286400'","b'Tue Oct 18 06:18:01 +0000 2011'","b'Lmfao look at the argument I had with Siri !!\n@ijustine @apple http://t.co/D4VjL7SI'"
"b'apple'","b'positive'","b'126164430546403328'","b'Tue Oct 18 05:15:18 +0000 2011'","b'Incredible: 4 million iPhone 4Ss in 3 days. 135% better than the iPhone 4 http://t.co/1FMJxTMM @apple #iphone4s'"
"b'apple'","b'positive'","b'126140794078892033'","b'Tue Oct 18 03:41:23 +0000 2011'","b""Well @apple fixed my #ios5 battery drain problem with a replacement iPhone 4 -- it's working like a champ now"""
"b'apple'","b'positive'","b'126134400466419712'","b'Tue Oct 18 03:15:59 +0000 2011'","b""Currently ordering a BRAND NEW MACBOOK PRO!!! Bahhh... my MacBook is 5 years old. I'll miss it. But it's time. cc: @Apple -"""
"b'apple'","b'positive'","b'126116898051076096'","b'Tue Oct 18 02:06:26 +0000 2011'","b'#Siri now knows who my dad, mom, brother and girlfriend is.  Thanks @apple'"
"b'apple'","b'positive'","b'126116614495154176'","b'Tue Oct 18 02:05:18 +0000 2011'","b'Well at least the @apple store has amazing call waiting music! #need4s'"
"b'apple'","b'positive'","b'126112836219973632'","b'Tue Oct 18 01:50:17 +0000 2011'","b'#sweet... #apple replaced my glass #probono. thank you @apple'"
"b'apple'","b'positive'","b'126107965991297024'","b'Tue Oct 18 01:30:56 +0000 2011'","b'Not Bad! @Apple Sells Over 4 Million #IPhones in Debut Weekend - Bloomberg http://t.co/AVSl3ygU - #smartphone #sm RT @VinodRad'"
"b'apple'","b'positive'","b'126104732426186752'","b'Tue Oct 18 01:18:05 +0000 2011'","b'loving new technology from @apple iPhone 4s, mac air and iCloud are unreal #technology'"
"b'apple'","b'positive'","b'126097426493878272'","b'Tue Oct 18 00:49:03 +0000 2011'","b""I'm loving this new IOS5 update :) @apple"""
"b'apple'","b'positive'","b'126095744531832832'","b'Tue Oct 18 00:42:22 +0000 2011'","b'Another mention for Apple Store: http://t.co/fiIOApKt - RT @floridamike Once again getting great customer service from the @apple store ...'"
"b'apple'","b'positive'","b'126084907343691776'","b'Mon Oct 17 23:59:19 +0000 2011'","b'Time to go get my iPhone 4s.  Looking forward to sticking it to the man by no longer paying for most texts.  Thanks @apple.'"
"b'apple'","b'positive'","b'126076238375817216'","b'Mon Oct 17 23:24:52 +0000 2011'","b'#iCloud set up was flawless and works like a champ! To the Cloud @Apple'"
"b'apple'","b'positive'","b'126075534894571520'","b'Mon Oct 17 23:22:04 +0000 2011'","b""@Wisconsin_Mommy @Apple I'd totally email the company... I always get great service at our @Apple store!"""
"b'apple'","b'positive'","b'126064519943426048'","b'Mon Oct 17 22:38:18 +0000 2011'","b'@apple loving the new IOS5 upgrade for the iPhone!'"
"b'apple'","b'positive'","b'126063358037340161'","b'Mon Oct 17 22:33:41 +0000 2011'","b'Once again getting great customer service from the @apple store at millenia mall.'"
"b'apple'","b'positive'","b'126059405941809152'","b'Mon Oct 17 22:17:59 +0000 2011'","b'Is it just me or is #iOS5 faster for the iPad? @apple'"
"b'apple'","b'positive'","b'126057030996852737'","b'Mon Oct 17 22:08:32 +0000 2011'","b'making the switch from @Android to @Apple #iphone #iphone4S #smartphone #stevejobs (@ Apple Store) http://t.co/kj6pJvkH'"
"b'apple'","b'positive'","b'126040074595999746'","b'Mon Oct 17 21:01:10 +0000 2011'","b'Play on ma man. Loving the camera in the #iphone4s. Well done @apple  #fb http://t.co/tmdFqRe1'"
"b'apple'","b'positive'","b'126034495991328768'","b'Mon Oct 17 20:39:00 +0000 2011'","b'So yeah... @apple #iOS5 #readinglists have changed my life. #nowicanspendevenmoretimeonmyphone.'"
"b'apple'","b'positive'","b'126026756623831041'","b'Mon Oct 17 20:08:14 +0000 2011'","b'@Apple Safari Reader owns the worldwide web'"
"b'apple'","b'positive'","b'126019393460244481'","b'Mon Oct 17 19:38:59 +0000 2011'","b'I love @apple service . My case has cracked 3x and I go in and they hand me a case and I walk out'"
"b'apple'","b'positive'","b'126009748020658177'","b'Mon Oct 17 19:00:39 +0000 2011'","b'Said to have laid out the next 4 years @apple.Jobs last iPhone is 2012 not the iPhone4S. iPhone(4G/5) 2012 is magical! http://t.co/DxxklUBp'"
"b'apple'","b'positive'","b'126008369562652672'","b'Mon Oct 17 18:55:11 +0000 2011'","b'Kind of excited. On my way to my last class right now and then going to the @Apple store, so buy #MacOSC Snow Leopard and Lion :-)'"
"b'apple'","b'positive'","b'126002597063696384'","b'Mon Oct 17 18:32:14 +0000 2011'","b'i used to be with @blackberry over 4-5yrs .. after all the disruptions and lost gigs thx to their service im moving to @apple #iphone'"
"b'apple'","b'positive'","b'125999676972470272'","b'Mon Oct 17 18:20:38 +0000 2011'","b'Apple sells 4 million iPhones in 3 days @apple keep doing what you are doing, because you are doing it well! http://t.co/ZZc6bE0w'"
"b'apple'","b'positive'","b'125978568726560768'","b'Mon Oct 17 16:56:46 +0000 2011'","b'4 millions in a weekend, 16 #iPhone4S per second. This is madness?! no, this is @Apple !!!'"
"b'apple'","b'positive'","b'125974505385500672'","b'Mon Oct 17 16:40:37 +0000 2011'","b"".@apple you got me. I'm now invested. MacBook Pro next year. Time to get on selling more of my #android gear"""
"b'apple'","b'positive'","b'125959059957485569'","b'Mon Oct 17 15:39:14 +0000 2011'","b'I just sent my grandma a post card using my #CardsApp thanks @Apple'"
"b'apple'","b'positive'","b'125947912306954240'","b'Mon Oct 17 14:54:56 +0000 2011'","b'@KostaTsetsekas @apple Putting it in the wash is kind of the equivalent to ""Will it blend?"" Glad to hear it\'s still alive.'"
"b'apple'","b'positive'","b'125940394566483968'","b'Mon Oct 17 14:25:04 +0000 2011'","b'God Bless @YouTube, @apple for  #appletv & our bad ass system. LOVING #PrincessOfChina. GB to @coldplay & @rihanna too :)'"
"b'apple'","b'positive'","b'125925618486489088'","b'Mon Oct 17 13:26:21 +0000 2011'","b'Been off twitter for a few days as I smashed my iPhone but @apple were very nice and gave me a new one :)'"
"b'apple'","b'positive'","b'125924446430183425'","b'Mon Oct 17 13:21:42 +0000 2011'","b'Thank you @Apple iOS 5 for email pop up on the lock screen and opening it when unlocking.'"
"b'apple'","b'positive'","b'125922999651139584'","b'Mon Oct 17 13:15:57 +0000 2011'","b'One word - #wow. RT @jldavid iPhone 4S First Weekend Sales Top Four Million: http://t.co/Zx5Pw0GT (via @apple)'"
"b'apple'","b'negative'","b'126407767132078082'","b'Tue Oct 18 21:22:14 +0000 2011'","b'good article about why @apple fucked it all up with lion and their future. http://t.co/zNDP9Vr6 #fb'"
"b'apple'","b'negative'","b'126405185630253056'","b'Tue Oct 18 21:11:59 +0000 2011'","b'Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s'"
"b'apple'","b'negative'","b'126405040809312256'","b'Tue Oct 18 21:11:24 +0000 2011'","b'The one #iphone feature still missing since @apple first showed it.. Contacts pictures on the contacts list! Simple yet 5 major updates miss'"
"b'apple'","b'negative'","b'126400637930979329'","b'Tue Oct 18 20:53:55 +0000 2011'","b""Asked siri is she dreams of electric sleep. Was disappointed that she didn't have a snippy answer.  Missed opportunity @apple"""
"b'apple'","b'negative'","b'126394680903614465'","b'Tue Oct 18 20:30:14 +0000 2011'","b'@paulens It surprises me that @Apple throws up an error alert about authorizing, and there\'s no ""Authorize this computer"" button.'"
"b'apple'","b'negative'","b'126393204550537216'","b'Tue Oct 18 20:24:22 +0000 2011'","b'FUCK YOU @apple DIE IN A FUCKING BLAZE INFERNO.'"
"b'apple'","b'negative'","b'126392402083708928'","b'Tue Oct 18 20:21:11 +0000 2011'","b""Oh, @apple. Steve obviously had nothing to do with iPhoto, as it's the perfect opposite of 'insanely great'. Get it fixed, please."""
"b'apple'","b'negative'","b'126389218284015616'","b'Tue Oct 18 20:08:32 +0000 2011'","b""@ryanbaldwin @apple So in iTunes I go Store -&gt; Authorise\xe2\x80\xa6 why doesn't it just auto-authorise it when I sign into iTunes? Grrrr..."""
"b'apple'","b'negative'","b'126388194194362369'","b'Tue Oct 18 20:04:28 +0000 2011'","b'Seriously - I have absolutely no offing clue what @Apple means by ""authorization"", nor how to do it.'"
"b'apple'","b'negative'","b'126388023725268992'","b'Tue Oct 18 20:03:47 +0000 2011'","b'Boy, could @apple make it any harder to put my purchased music from the cloud on to my new macbook pro? ""You must authorize this computer\xe2\x80\xa6""'"
"b'apple'","b'negative'","b'126385036441296896'","b'Tue Oct 18 19:51:55 +0000 2011'","b'shit, shit, shit. IOS5 update ate all my apps, data and media just like @apple said it would. This is going to take some time to rebuild.'"
"b'apple'","b'negative'","b'126382959711358976'","b'Tue Oct 18 19:43:40 +0000 2011'","b"". @apple & @AT&T u cannot tell me there isn't at least 1 64GB iPhone 4S in LA or Vegas!! Give me a fucking break!!!!"""
"b'apple'","b'negative'","b'126382051661328385'","b'Tue Oct 18 19:40:03 +0000 2011'","b'Love @apple downloads. 4 hours and i-pad now wonky! #ripstevejobs #thenonsensepersists #neednewipadguide #fatfuckingchance'"
"b'apple'","b'negative'","b'126381519513194497'","b'Tue Oct 18 19:37:56 +0000 2011'","b'Dear @apple My new Air is now a notbook since your update killed #wifi #bug #destroying #productivity'"
"b'apple'","b'negative'","b'126380588822298625'","b'Tue Oct 18 19:34:15 +0000 2011'","b""I am so done with @Att and @apple 's profitering and lack of customer service, so fucking down with both!!!"""
"b'apple'","b'negative'","b'126380553464315904'","b'Tue Oct 18 19:34:06 +0000 2011'","b'It would be great If @Apple would send my new phone. #frustrated'"
"b'apple'","b'negative'","b'126377298650861568'","b'Tue Oct 18 19:21:10 +0000 2011'","b""@apple thank you for ruining my 3GS with #iOS5. You've just turned my phone into an utterly useless pile of shit."""
"b'apple'","b'negative'","b'126375381249966080'","b'Tue Oct 18 19:13:33 +0000 2011'","b'@rogerweir no but I have the option of a  replacement iPhone 4s ?\nNot sure if I want one after having 2 duff iPhones.\n@O2 @iphone4s @apple'"
"b'apple'","b'negative'","b'126372694118768640'","b'Tue Oct 18 19:02:52 +0000 2011'","b'So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. What is this 2001?'"
"b'apple'","b'negative'","b'126372040696541184'","b'Tue Oct 18 19:00:17 +0000 2011'","b""You know @apple It's been almost a week since I paid for iTunes Match, I would really like to use it. Any ETA on a fix?"""
"b'apple'","b'negative'","b'126363154837020672'","b'Tue Oct 18 18:24:58 +0000 2011'","b'removing all @apple shit.'"
"b'apple'","b'negative'","b'126361483432038400'","b'Tue Oct 18 18:18:19 +0000 2011'","b""So @PhoenixSwinger 's iPhone 4 is giving her a hella hard time w/ the iOS5 update @apple"""
"b'apple'","b'negative'","b'126358301393956866'","b'Tue Oct 18 18:05:41 +0000 2011'","b""@Apple can't send me an iPhone preordered 1hr after launching but they cans send 5 or 10 to all the jackasses who want to shoot or blend 'em"""
"b'apple'","b'negative'","b'126358272084152320'","b'Tue Oct 18 18:05:34 +0000 2011'","b'Gotta say the @Apple itouch iphone shuffle etc.. sound quality is AWFUL.. painfully crap. Its been a downgrade from @Sony sound quality wise'"
"b'apple'","b'negative'","b'126357580741226496'","b'Tue Oct 18 18:02:49 +0000 2011'","b""@bisquiat @Apple the upgrade just slows down my phone so much, it's stuck half the time. uch. thankfully no other damage. sucks for you :("""
"b'apple'","b'negative'","b'126357227727626240'","b'Tue Oct 18 18:01:25 +0000 2011'","b""@Mayati I think @Apple didn't do such a thorough job with the step x steps for upgrade and move to iCloud. Now it's cost me mightily."""
"b'apple'","b'negative'","b'126354628999778305'","b'Tue Oct 18 17:51:05 +0000 2011'","b""Hey @apple now I have iOS5 my iPhone doesn't include songs that are on compilation albums under the artist's name. #whaddupwitdat"""
"b'apple'","b'negative'","b'126351972948393984'","b'Tue Oct 18 17:40:32 +0000 2011'","b'@NickTheFNicon He can send but not rcve txts so he has an apt @apple at 4pm.Then he exclaims: And I waited a whole YEAR for this phone!!LMAO'"
"b'apple'","b'negative'","b'126348169826148352'","b'Tue Oct 18 17:25:25 +0000 2011'","b""Total chaos at @apple store regent street. Like an Ethiopian feeding station. Can't believe this is same co. that makes all that cool shit."""
"b'apple'","b'negative'","b'126344426854416385'","b'Tue Oct 18 17:10:33 +0000 2011'","b'@FishMama: If you made a purchase, just wait for the @apple survey! hate going b/c of the bad #custserv'"
"b'apple'","b'negative'","b'126343931117047808'","b'Tue Oct 18 17:08:35 +0000 2011'","b""Correction: @ Best Buy kudos to Chris @ Alamo Ranch S.A. TX-fixed issues couldn't resolve after 1/2 day w/ @ATT & @Apple. Hero of my day!"""
"b'apple'","b'negative'","b'126343679785959424'","b'Tue Oct 18 17:07:35 +0000 2011'","b'@phxguy88 @Apple @BGR That\'s why all the ppl who stand in line for hrs to get the ""newest"" model are suckers...'"
"b'apple'","b'negative'","b'126343214805426176'","b'Tue Oct 18 17:05:44 +0000 2011'","b'Would it kill @apple to put a braille type bump on their earbuds so we know which bud is R and L in the dark.'"
"b'apple'","b'negative'","b'126334597431697408'","b'Tue Oct 18 16:31:29 +0000 2011'","b'@APPLE Wow @MOTOROLA Just crushed your dreams....'"
"b'apple'","b'negative'","b'126334188583530496'","b'Tue Oct 18 16:29:52 +0000 2011'","b'Time to play a game called wait at the @apple store forever because the tourists are taking forever with their genius appointments.'"
"b'apple'","b'negative'","b'126331327271284736'","b'Tue Oct 18 16:18:30 +0000 2011'","b'Oh, just fuck you, @apple. Already?? ---&gt;  iPhone 5 on schedule for summer launch? http://t.co/Ofh9PTaG via @BGR'"
"b'apple'","b'negative'","b'126327808803880960'","b'Tue Oct 18 16:04:31 +0000 2011'","b""@apple, \nNo, I won't wait until thursday for an available appointment just so a 'genius' can tell me I'm shit out of luck. #now"""
"b'apple'","b'negative'","b'126324573384871936'","b'Tue Oct 18 15:51:39 +0000 2011'","b""@Apple, on the #iPad with #iOS5, why has the Messages Icon been included when it can't be used?"""
"b'apple'","b'negative'","b'126324389741473792'","b'Tue Oct 18 15:50:56 +0000 2011'","b'@Steelo254 yea! I pre-order through @apple and they sorry too just like #AT&T'"
"b'apple'","b'negative'","b'126324077513293824'","b'Tue Oct 18 15:49:41 +0000 2011'","b'Interesting... @apple now requires you to have a reservation ?         #apple #iphone #4S    :  http://t.co/zZK4fTii'"
"b'apple'","b'negative'","b'126321169468100609'","b'Tue Oct 18 15:38:08 +0000 2011'","b'@apple why is my iPhone battery so crappy #fail'"
"b'apple'","b'negative'","b'126320033369563138'","b'Tue Oct 18 15:33:37 +0000 2011'","b'My @Apple @macbook keyboard will not type :('"
"b'apple'","b'neutral'","b'126056940060155904'","b'Mon Oct 17 22:08:11 +0000 2011'","b'@RhiannaRaee hanging @apple in tacoma listening to the beatles!'"
"b'apple'","b'neutral'","b'126055880394420224'","b'Mon Oct 17 22:03:58 +0000 2011'","b""In front of the @apple store. So many blue shirts I feel like I'm at a smurf reunion. #iPhone4S"""
"b'apple'","b'neutral'","b'126054998080622593'","b'Mon Oct 17 22:00:28 +0000 2011'","b'A must read article on @fastcompany about @Apple, @Facebook, @Google, and @Amazon technology war in 2012  http://t.co/nxc7Wo4S'"
"b'apple'","b'neutral'","b'126054145617694720'","b'Mon Oct 17 21:57:04 +0000 2011'","b'@cnbcfastmomey what price should I sell @apple for'"
"b'apple'","b'neutral'","b'126052649475915776'","b'Mon Oct 17 21:51:08 +0000 2011'","b'Hey @Apple, when did you hire @TheRock to tighten the screws on the bottom cases of your MacBook Pros?  #Ouch #NiceHire'"
"b'apple'","b'neutral'","b'126051375422504961'","b'Mon Oct 17 21:46:05 +0000 2011'","b'#SteveJobs memorial at the Leawood @Apple store. http://t.co/UVgb05G6'"
"b'apple'","b'neutral'","b'126049560878526464'","b'Mon Oct 17 21:38:51 +0000 2011'","b'Hey @apple why is Siri not available for the Mac?'"
"b'apple'","b'neutral'","b'126044055644807169'","b'Mon Oct 17 21:16:59 +0000 2011'","b'waiting for Jacob @fairview @apple storeee'"
"b'apple'","b'neutral'","b'126041570876203009'","b'Mon Oct 17 21:07:06 +0000 2011'","b'#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/nDRpciY9 #PampersHelloApps'"
"b'apple'","b'neutral'","b'126040050441011200'","b'Mon Oct 17 21:01:04 +0000 2011'","b'iPhone 4S First Weekend Sales Top Four Million: http://t.co/Dm4acTYv via @Apple themselves. Big sales for the new phone.'"
"b'apple'","b'neutral'","b'126039521853845504'","b'Mon Oct 17 20:58:58 +0000 2011'","b'Iphone: Watch Siri &quot;Work&quot; On the Old iPhone 4 - @Gizmodo http://t.co/dGPWL0r0 @apple allow commands from iPhone 4. Stop playin!'"
"b'apple'","b'neutral'","b'126031463647944704'","b'Mon Oct 17 20:26:57 +0000 2011'","b""@WIREDInsider beautiful, yes. though it simply reminds me of @apple's spinning wheel of death. clock, reinvented: http://t.co/tJcJAqfl"""
"b'apple'","b'neutral'","b'126030091892432896'","b'Mon Oct 17 20:21:30 +0000 2011'","b'Dear @apple: Integrated tweeting in ios5 RAWKS. Plz consider adding @ and # lookup like @twitter app. Thx! http://t.co/5uHsTEPz'"
"b'apple'","b'neutral'","b'126019432194650113'","b'Mon Oct 17 19:39:08 +0000 2011'","b'@brady I am surprised @apple did not think of/anticipate that......'"
"b'apple'","b'neutral'","b'126018538531061760'","b'Mon Oct 17 19:35:35 +0000 2011'","b'#iMessage is here wid iOS5 RIP #BBM @cultofmac @apple'"
"b'apple'","b'neutral'","b'126017643747606528'","b'Mon Oct 17 19:32:02 +0000 2011'","b""It's a good thing @apple has not came out with an iCar because I would be in line for one and im sure it would be expensive"""
"b'apple'","b'neutral'","b'126016494701256704'","b'Mon Oct 17 19:27:28 +0000 2011'","b'RT @carlmilner: RT @petapixel: iPhone 4S vs Canon 5D Mark II - A side-by-side comparison of 1080p HD video: http://t.co/qMyMIV7z &lt;&lt ...'"
"b'apple'","b'neutral'","b'126014643826208768'","b'Mon Oct 17 19:20:06 +0000 2011'","b'@apple @internode #icloud #ios5 #piracy omg no wonder ive used all my downloads!!'"
"b'apple'","b'neutral'","b'126014214467895297'","b'Mon Oct 17 19:18:24 +0000 2011'","b""@apple Iphone's & Ipad's beautiful technology but alltogether mainly a marketing platform. It's obscure is'nt it? Apple lost it's touch."""
"b'apple'","b'neutral'","b'126014102379302912'","b'Mon Oct 17 19:17:57 +0000 2011'","b""@JarjarTee @apple That's really good. Makes you happy to pay the infamous @apple tax :)"""
"b'apple'","b'neutral'","b'126013626426466304'","b'Mon Oct 17 19:16:04 +0000 2011'","b""Hall Pass had me rolling...... @Apple bee's lookin for nookie really"""
"b'apple'","b'neutral'","b'126012515019784192'","b'Mon Oct 17 19:11:39 +0000 2011'","b'@coatgal @apple considering his circumstances - suffering faults on/off for long periods -They replaced his phone with a new as a  goodwill'"
"b'apple'","b'neutral'","b'126012034545496065'","b'Mon Oct 17 19:09:44 +0000 2011'","b'@coatgal @apple Paul had a chat with an advisor explained the problem : cost \xc2\xa3120 repair !!\nBUT wait for it , drumroll . . . .'"
"b'apple'","b'neutral'","b'126012004312956928'","b'Mon Oct 17 19:09:37 +0000 2011'","b'#Steve #Jobs #Tribute iPhone 4S Cases Now Available #iphonecases\nhttp://t.co/2hyurIiq\n#stevejobstributecases\n@ikaveri @iamsrk @apple'"
"b'apple'","b'neutral'","b'126011120694726656'","b'Mon Oct 17 19:06:07 +0000 2011'","b'@coatgal had a really interestng experience up in the @Apple store though, Paul was with me up there, faulty #iphone4 - but out of warranty'"
"b'apple'","b'neutral'","b'126008776322064384'","b'Mon Oct 17 18:56:48 +0000 2011'","b""@Apple's Success is Also #Google's Gain as #Mobile #Advertising Balloons http://t.co/0400ynQY"""
"b'apple'","b'neutral'","b'126007705600135168'","b'Mon Oct 17 18:52:32 +0000 2011'","b'@_alastair w/ respect, the old alternatives were talking to a computer in india or the geek squad. @apple does a pretty great job.'"
"b'apple'","b'neutral'","b'126006572420833282'","b'Mon Oct 17 18:48:02 +0000 2011'","b'@jackiestone1 yes! Tech peeps talk so much about algorithms, but tech should always tie back to people. @apple proves this #imediasummit'"
"b'apple'","b'neutral'","b'126006349959135232'","b'Mon Oct 17 18:47:09 +0000 2011'","b'The great tech battle ft @facebook @amazon @apple and more http://t.co/ws4lWWXy via @fastcompany'"
"b'apple'","b'neutral'","b'126004552557273088'","b'Mon Oct 17 18:40:01 +0000 2011'","b'Another shrewd business model move by @Amazon http://t.co/OQJRRYFq Rooting for the dark horse in the @facebook @google @apple war? #tech'"
"b'apple'","b'neutral'","b'126003746135224320'","b'Mon Oct 17 18:36:48 +0000 2011'","b'RT @Apple sells 4 million iPhone 4S in 3 days http://t.co/vElmtzNS via @reuters'"
"b'apple'","b'neutral'","b'126003567315255296'","b'Mon Oct 17 18:36:06 +0000 2011'","b'Flowers & Apples shower the Santa Monica @Apple store in honor of #SteveJobs http://t.co/xGf60gMs'"
"b'apple'","b'neutral'","b'126001989309054976'","b'Mon Oct 17 18:29:49 +0000 2011'","b'is it me or @blackberry is begging ppl not to go @apple #iphone http://t.co/X3gdBUyK'"
"b'apple'","b'neutral'","b'126001758853009409'","b'Mon Oct 17 18:28:55 +0000 2011'","b'Do people loved Steve? Check out this photo from @Apple store http://t.co/jIqBGghC'"
